"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Desminado militar en operaciones";"ARAUCA";81;"SARAVENA";81736;2010;10;"Incidente";"Sin informacion";"Rural";6.943056;-71.874722;"El Barrio Cofavi";"POINT (-71.874722 6.943056)";"2010-10-01";40452
"Desminado militar en operaciones";"ARAUCA";81;"SARAVENA";81736;2015;4;"Incidente";"Sin informacion";"Rural";6.929166667;-71.9;"Vereda Miramar";"POINT (-71.9 6.929166667)";"2015-04-01";42095
"Desminado militar en operaciones";"HUILA";41;"TELLO";41799;2009;6;"Incidente";"Sin informacion";"Rural";3;-74.949444;"Los Planes";"POINT (-74.949444 3)";"2009-06-01";39965
"Desminado militar en operaciones";"ANTIOQUIA";5;"REMEDIOS";5604;2004;11;"Incidente";"Sin informacion";"Rural";7.030573;-74.696332;"";"POINT (-74.696332 7.030573)";"2004-11-01";38292
"Desminado militar en operaciones";"CAQUETA";18;"SAN VICENTE DEL CAGUÁN";18753;2009;7;"Incidente";"Sin informacion";"Rural";1.678611;-74.102222;"Vereda San José De Caquetania";"POINT (-74.102222 1.678611)";"2009-07-01";39995
"Desminado militar en operaciones";"HUILA";41;"ALGECIRAS";41020;2008;2;"Incidente";"Sin informacion";"Rural";2.606389;-75.190556;"";"POINT (-75.190556 2.606389)";"2008-02-01";39479
"Desminado militar en operaciones";"ANTIOQUIA";5;"TARAZÁ";5790;2009;4;"Incidente";"Sin informacion";"Rural";7.355556;-75.238333;"Quebrada Doradas";"POINT (-75.238333 7.355556)";"2009-04-01";39904
"Accidente por MAP";"CAQUETA";18;"EL PAUJIL";18256;2004;8;"Accidente";"Sin informacion";"Rural";1.365833;-75.174444;"Vereda Porvenir";"POINT (-75.174444 1.365833)";"2004-08-01";38200
"Desminado militar en operaciones";"ANTIOQUIA";5;"MUTATÁ";5480;2013;1;"Incidente";"Sin informacion";"Rural";7.546666667;-76.5241667;"La Fortuna";"POINT (-76.5241667 7.546666667)";"2013-01-01";41275
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2018;7;"Incidente";"Sin informacion";"Rural";1.333333333;-78.6625;"MATA PLATANO";"POINT (-78.6625 1.333333333)";"2018-07-01";43282
"Accidente por MAP";"PUTUMAYO";86;"PUERTO ASÍS";86568;2013;2;"Accidente";"Sin informacion";"Rural";0.502569;-76.49818;"Vereda La Florida";"POINT (-76.49818 0.502569)";"2013-02-01";41306
"Desminado militar en operaciones";"ANTIOQUIA";5;"TARAZÁ";5790;2014;5;"Incidente";"Sin informacion";"Rural";7.521944444;-75.7;"El Socorro";"POINT (-75.7 7.521944444)";"2014-05-01";41760
"Accidente por MAP";"PUTUMAYO";86;"PUERTO ASÍS";86568;2013;1;"Accidente";"Sin informacion";"Rural";0.5211111111;-76.25861111;"Vereda Monte Bello";"POINT (-76.25861111 0.5211111111)";"2013-01-01";41275
"Desminado militar en operaciones";"META";50;"SAN MARTÍN";50689;2012;3;"Incidente";"Sin informacion";"Rural";3.716111;-73.778056;"Vereda Viso Colorado";"POINT (-73.778056 3.716111)";"2012-03-01";40969
"Desminado militar en operaciones";"CAUCA";19;"CORINTO";19212;2009;7;"Incidente";"Sin informacion";"Rural";3.1825;-76.258611;"La Salida Corregimiento El Palo";"POINT (-76.258611 3.1825)";"2009-07-01";39995
"Desminado militar en operaciones";"SUCRE";70;"CHALÁN";70230;2002;12;"Incidente";"Sin informacion";"Rural";9.58;-75.345556;"";"POINT (-75.345556 9.58)";"2002-12-01";37591
